ubigeo,ti_pred_mean,ti_pred_sd,n,region,ti_pred_lower,ti_pred_upper,categoria,ninos_en_ti
3001,0.0717968429894709,0.0569153686944499,15698,9,0.0709064874552394,0.0726871985237024,Muy baja,1127
1301,0.0717150653240178,0.0531478300914623,55042,2,0.0712710535298697,0.0721590771181659,Muy baja,3947
2702,0.0710509132905499,0.0510203855542715,14564,4,0.0702222855423072,0.0718795410387925,Muy baja,1035
0501,0.0708955000108155,0.0545437070302659,8260,4,0.0697192200487663,0.0720717799728648,Muy baja,586
2703,0.0706035776986705,0.0504205217225136,5516,4,0.0692729661826803,0.0719341892146607,Muy baja,389
3003,0.0700928561912927,0.0536654389115029,2103,9,0.0677991852068676,0.0723865271757177,Muy baja,147
1302,0.0684451702424355,0.051507373567533,14899,2,0.067618091390101,0.0692722490947701,Muy baja,1020
1504,0.0681575692240241,0.0487008045203986,2205,4,0.0661248007806487,0.0701903376673995,Muy baja,150
0601,0.0670313785563703,0.053318737168585,39492,3,0.0665055049646784,0.0675572521480623,Muy baja,2647
3002,0.0669434426695021,0.0496108982732079,4496,9,0.065493269015995,0.0683936163230092,Muy baja,301
2304,0.0659146867582837,0.0521386475321474,9347,9,0.0648576752604172,0.0669716982561502,Muy baja,616
2401,0.0639828955537437,0.0546379701112282,17919,2,0.0631828886351577,0.0647829024723297,Muy baja,1147
2803,0.0630620538069837,0.0502492249954104,6011,2,0.0617917369086816,0.0643323707052859,Muy baja,379
2701,0.0628463239736414,0.0476566514237432,16798,4,0.0621256301395814,0.0635670178077013,Muy baja,1056
2802,0.0616607271876586,0.0440255979803893,5614,2,0.0605090649396222,0.062812389435695,Muy baja,346
2801,0.061125499560941,0.0473887295945104,30282,2,0.0605917483663758,0.0616592507555061,Muy baja,1851
2305,0.060368890528233,0.0432974063404753,5565,9,0.059231301568841,0.061506479487625,Muy baja,336
2301,0.0568880995192329,0.0406590064916329,47819,9,0.0565236708049557,0.0572525282335102,Muy baja,2720
