ubigeo,region,prev_hombre,prev_mujer,brecha
3002,9,0.09278819824718305,0.03943740803724102,0.05335079020994203
3003,9,0.09684033042430912,0.04254502317331148,0.05429530725099764
3101,5,0.10419040108522024,0.04270311854010276,0.061487282545117476
3102,5,0.10971909719402895,0.04599038397962366,0.06372871321440529
3103,5,0.14117136630586402,0.060253723974228686,0.08091764233163534
3201,10,0.11895874914411188,0.05311350650086251,0.06584524264324937
3202,10,0.1268199322723968,0.056837685071230284,0.06998224720116651
3203,10,0.12658011268439576,0.05621124665403625,0.07036886603035951
3204,10,0.1485031685560077,0.06755703733190375,0.08094613122410395
3205,10,0.17989284716731654,0.08416702099389746,0.09572582617341908
3206,10,0.12550548710168352,0.055494939675980175,0.07001054742570334
3207,10,0.1343327466683384,0.059984402748753524,0.07434834391958486
